Mes,Tipo Atención,Motivo,Sexo,Edad,Comuna del solicitante
enero,Presencial,Consulta,M,32,VALPARAISO
enero,Presencial,Consulta,F,52,RENCA
enero,Presencial,Consulta,M,54,LA GRANJA
enero,Presencial,Consulta,F,43,RECOLETA
enero,Presencial,Consulta,F,38,SAN BERNARDO
enero,Presencial,Consulta,F,57,LA PINTANA
enero,Presencial,Consulta,M,38,LOS ALAMOS
enero,Presencial,Consulta,F,63,PIRQUE
enero,Presencial,Consulta,M,29,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,F,46,PUENTE ALTO
enero,Presencial,Consulta,F,52,ARAUCO
enero,Presencial,Consulta,M,60,CURANILAHUE
enero,Presencial,Consulta,F,43,TALCAHUANO
enero,Presencial,Consulta,F,38,MAIPU
enero,Presencial,Consulta,F,40,PAINE
enero,Presencial,Consulta,M,36,LA PINTANA
enero,Presencial,Consulta,F,52,CONCEPCION
enero,Presencial,Consulta,F,3,QUILICURA
enero,Presencial,Consulta,M,54,CONCEPCION
enero,Presencial,Consulta,M,41,PUDAHUEL
enero,Presencial,Consulta,F,15,QUINTA NORMAL
enero,Presencial,Consulta,M,21,PUENTE ALTO
enero,Presencial,Consulta,M,28,SANTIAGO
enero,Presencial,Consulta,F,68,QUINTA NORMAL
enero,Presencial,Consulta,M,53,CABILDO
enero,Presencial,Consulta,F,55,MAIPU
enero,Presencial,Consulta,F,42,LA PINTANA
enero,Presencial,Consulta,F,4,CHIGUAYANTE
enero,Presencial,Consulta,F,57,BUIN
enero,Presencial,Consulta,M,27,BUIN
enero,Presencial,Consulta,M,60,LO ESPEJO
enero,Presencial,Consulta,M,55,ESTACION CENTRAL
enero,Presencial,Consulta,M,38,PIRQUE
enero,Presencial,Consulta,M,60,VITACURA
enero,Presencial,Consulta,M,37,QUILICURA
enero,Telefónico,Consulta,F,33,SAN MIGUEL
enero,Presencial,Consulta,M,39,LO ESPEJO
enero,Presencial,Consulta,M,28,SANTIAGO
enero,Presencial,Consulta,F,16,CORONEL
enero,Presencial,Consulta,M,32,LO ESPEJO
enero,Presencial,Consulta,M,46,QUINTA NORMAL
enero,Presencial,Consulta,M,31,PUDAHUEL
enero,Presencial,Consulta,F,32,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,M,12,PUDAHUEL
enero,Presencial,Consulta,F,30,PUDAHUEL
enero,Presencial,Consulta,F,37,sin indicar
enero,Presencial,Consulta,M,47,PUENTE ALTO
enero,Presencial,Consulta,F,72,CALERA DE TANGO
enero,Presencial,Consulta,F,87,PUNTA ARENAS
enero,Presencial,Consulta,F,46,SAN JOSE DE MAIPO
enero,Presencial,Consulta,F,34,LA FLORIDA
enero,Presencial,Consulta,F,48,PUENTE ALTO
enero,Telefónico,Consulta,M,38,MELIPILLA
enero,Presencial,Consulta,M,43,QUINTA NORMAL
enero,Presencial,Consulta,M,18,LO ESPEJO
enero,Presencial,Consulta,M,26,LO BARNECHEA
enero,Presencial,Consulta,M,48,PUNTA ARENAS
enero,Presencial,Consulta,F,24,MAIPU
enero,Presencial,Consulta,F,40,LA CISTERNA
enero,Presencial,Consulta,F,37,PUDAHUEL
enero,Presencial,Consulta,F,74,LA CISTERNA
enero,Presencial,Consulta,M,26,LAMPA
enero,Presencial,Consulta,F,24,PUDAHUEL
enero,Presencial,Consulta,F,19,RENCA
enero,Presencial,Consulta,M,27,SAN RAMON
enero,Presencial,Consulta,F,29,HUECHURABA
enero,Presencial,Consulta,M,39,PENALOLEN
enero,Presencial,Consulta,M,50,IQUIQUE
enero,Presencial,Consulta,F,49,LA CISTERNA
enero,Presencial,Consulta,M,42,MAIPU
enero,Presencial,Consulta,M,83,NUNOA
enero,Presencial,Consulta,M,46,CONCHALI
enero,Presencial,Consulta,M,6,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,F,36,CERRILLOS
enero,Presencial,Consulta,M,51,CERRO NAVIA
enero,Presencial,Consulta,M,57,SAN JOAQUIN
enero,Presencial,Consulta,M,22,PUENTE ALTO
enero,Presencial,Consulta,F,20,CALDERA
enero,Presencial,Consulta,F,48,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,F,7,OSORNO
enero,Presencial,Consulta,M,13,CALERA DE TANGO
enero,Telefónico,Consulta,F,No informa edad,PROVIDENCIA
enero,Presencial,Consulta,M,50,SANTIAGO
enero,Presencial,Consulta,M,47,CONCEPCION
enero,Presencial,Consulta,F,71,SAN JOAQUIN
enero,Presencial,Consulta,M,21,ESTACION CENTRAL
enero,Presencial,Consulta,F,62,MAIPU
enero,Presencial,Consulta,M,81,MAIPU
enero,Presencial,Consulta,M,32,PEDRO A. CERDA
enero,Presencial,Consulta,F,22,LOTA
enero,Presencial,Consulta,F,40,MACUL
enero,Telefónico,Consulta,M,22,PENAFLOR
enero,Presencial,Consulta,F,48,PUNTA ARENAS
enero,Presencial,Consulta,F,77,PENALOLEN
enero,Presencial,Consulta,F,37,SAN MIGUEL
enero,Presencial,Consulta,M,78,CORONEL
enero,Presencial,Consulta,M,46,ESTACION CENTRAL
enero,Presencial,Consulta,F,32,MAIPU
enero,Presencial,Consulta,M,20,SAN BERNARDO
enero,Presencial,Consulta,M,23,LAMPA
enero,Presencial,Consulta,F,16,LAMPA
enero,Presencial,Consulta,F,26,QUILICURA
enero,Presencial,Consulta,M,50,COLINA
enero,Presencial,Consulta,M,17,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,F,44,PEDRO A. CERDA
enero,Presencial,Consulta,F,6,ESTACION CENTRAL
enero,Presencial,Consulta,M,25,PUENTE ALTO
enero,Presencial,Consulta,F,24,SAN RAMON
enero,Presencial,Consulta,F,58,CONCHALI
enero,Presencial,Consulta,F,52,Seleccione
enero,Telefónico,Consulta,F,33,SANTIAGO
enero,Telefónico,Consulta,M,67,MARIA PINTO
enero,Presencial,Consulta,F,4,LA CISTERNA
enero,Presencial,Consulta,F,61,CERRILLOS
enero,Presencial,Consulta,F,8,COPIAPO
enero,Presencial,Consulta,M,43,CORONEL
enero,Presencial,Consulta,F,69,NUNOA
enero,Presencial,Consulta,F,51,EL CARMEN
enero,Presencial,Consulta,F,44,HUECHURABA
enero,Presencial,Consulta,F,44,INDEPENDENCIA
enero,Presencial,Consulta,F,1,TALCAHUANO
enero,Presencial,Consulta,F,35,CONCEPCION
enero,Presencial,Consulta,F,16,CANETE
enero,Presencial,Consulta,M,37,LO BARNECHEA
enero,Presencial,Consulta,F,29,SAN BERNARDO
enero,Presencial,Consulta,M,21,PAINE
enero,Telefónico,Consulta,M,37,SANTIAGO
enero,Presencial,Consulta,M,67,PROVIDENCIA
enero,Presencial,Consulta,M,23,CONCEPCION
enero,Presencial,Consulta,M,26,PUENTE ALTO
enero,Presencial,Consulta,M,55,CORONEL
enero,Presencial,Consulta,F,51,PENAFLOR
enero,Presencial,Consulta,M,46,QUILICURA
enero,Presencial,Consulta,F,57,SAN BERNARDO
enero,Presencial,Consulta,M,49,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,F,37,ISLA DE MAIPO
