RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
1,Arica y Parinacota,Arica,Arica,4799.4,210936,38.4,0.736
1,Arica y Parinacota,Arica,Camarones,3927,679,0.3,0.751
1,Arica y Parinacota,Parinacota,General Lagos,2244.4,739,0.5,0.67
1,Arica y Parinacota,Parinacota,Putre,5902.5,1462,0.2,0.707
1,Arica y Parinacota,Iquique,Alto Hospicio,572.9,94455,87.6,
2,Tarapacá,Tamarugal,Camiña,2200.2,1156,0.5,0.619
2,Tarapacá,Tamarugal,Colchane,4015.6,1384,0.4,0.603
2,Tarapacá,Tamarugal,Huara,10474.6,2360,0.2,0.676
2,Tarapacá,Iquique,Iquique,2242.1,184953,82.4,0.766
2,Tarapacá,Tamarugal,Pica,8934.3,4194,0.6,0.793
2,Tarapacá,Tamarugal,Pozo Almonte,13765.8,11519,0.7,0.722
3,Antofagasta,Antofagasta,Antofagasta,30718.1,348669,9.7,0.734
3,Antofagasta,El Loa,Calama,15596.9,147886,9.1,0.757
3,Antofagasta,Tocopilla,María Elena,12197,4593,0.6,0.779
3,Antofagasta,Antofagasta,Mejillones,3803.9,9752,2.2,0.73
3,Antofagasta,El Loa,Ollagüe,2964,332,0.1,0.679
3,Antofagasta,El Loa,San Pedro de Atacama,23439,5605,0.2,0.711
3,Antofagasta,Antofagasta,Sierra Gorda,12886,1206,0.1,0.789
3,Antofagasta,Antofagasta,Taltal,20405.1,13493,0.5,0.716
3,Antofagasta,Tocopilla,Tocopilla,4038.8,20091,5.9,0.69
4,Atacama,Huasco,Alto del Carmen,5939,5488,0.8,0.664
4,Atacama,Copiapó,Caldera,4666.6,16150,2.9,0.741
4,Atacama,Chañaral,Chañaral,5772,14146,2.2,0.714
4,Atacama,Copiapó,Copiapó,16681.3,158261,11.9,0.725
4,Atacama,Chañaral,Diego de Almagro,18664,16452,1,0.789
4,Atacama,Huasco,Freirina,3207,6531,1.7,0.693
4,Atacama,Huasco,Huasco,1601.4,9015,5.6,0.695
4,Atacama,Copiapó,Tierra Amarilla,11191,13912,1.1,0.686
4,Atacama,Huasco,Vallenar,7084,52099,6.7,0.731
5,Coquimbo,Elqui,Andacollo,310,11116,33.1,0.675
5,Coquimbo,Choapa,Canela,2196.6,9182,4.2,0.644
5,Coquimbo,Limarí,Combarbalá,2257.5,13818,7.7,0.661
5,Coquimbo,Elqui,Coquimbo,1429,202441,141.6,0.731
5,Coquimbo,Choapa,Illapel,2629,30598,11.6,0.667
5,Coquimbo,Elqui,La Higuera,4158.2,4331,0.8,0.67
5,Coquimbo,Elqui,La Serena,1892.8,211275,132.5,0.781
5,Coquimbo,Choapa,Los Vilos,1823.8,18483,9.6,0.675
5,Coquimbo,Limarí,Monte Patria,4366.9,30137,6.9,0.653
5,Coquimbo,Limarí,Ovalle,3835,112956,28.1,0.725
5,Coquimbo,Elqui,Paihuano,1495,4252,2.8,0.734
5,Coquimbo,Limarí,Punitaqui,1339,10418,7.1,0.653
5,Coquimbo,Limarí,Río Hurtado,2180,4149,1.9,0.653
5,Coquimbo,Choapa,Salamanca,3445,25671,7.1,0.676
5,Coquimbo,Elqui,Vicuña,7610,26029,3.2,0.716
6,Valparaíso,San Antonio,Algarrobo,176,13472,48.9,0.722
6,Valparaíso,Petorca,Cabildo,1455,21094,13,0.671
6,Valparaíso,Los Andes,Calle Larga,321.7,11110,34.3,0.706
6,Valparaíso,San Antonio,Cartagena,246,17029,68.6,0.708
6,Valparaíso,Valparaíso,Casablanca,953,25165,22.9,0.712
6,Valparaíso,San Felipe de Aconcagua,Catemu,361.6,13902,33.5,0.669
6,Valparaíso,Valparaíso,Concón,76,63210,424.6,0.781
6,Valparaíso,San Antonio,El Quisco,51,15829,185.6,0.745
6,Valparaíso,San Antonio,El Tabo,99,11861,71,0.747
6,Valparaíso,Quillota,Hijuelas,267,19132,71.6,0.672
6,Valparaíso,Isla de Pascua,Isla de Pascua,163.6,5761,23.1,0.715
6,Valparaíso,Valparaíso,Juan Fernández,149.4,792,4,0.744
6,Valparaíso,Quillota,La Calera,60.5,55207,830,0.7
