Codigo,Nombre,Provincia,Superficie,Poblacion_2012,Densidad,IDH_2005
15101,Arica,Arica,4799.4,210936,38.4,0.736
15102,Camarones,Arica,3927.0,679,0.3,0.751
15201,Putre,Parinacota,5902.5,1462,0.2,0.707
15202,General Lagos,Parinacota,2244.4,739,0.5,0.670
01101,Iquique,Iquique,2242.1,184953,82.4,0.766
01107,Alto Hospicio,Iquique,572.9,94455,87.6,
01401,Pozo Almonte,Tamarugal,13765.8,11519,0.7,0.722
01402,Camiña,Tamarugal,2200.2,1156,0.5,0.619
01403,Colchane,Tamarugal,4015.6,1384,0.4,0.603
01404,Huara,Tamarugal,10474.6,2360,0.2,0.676
01405,Pica,Tamarugal,8934.3,4194,0.6,0.793
02101,Antofagasta,Antofagasta,30718.1,348669,9.7,0.734
02102,Mejillones,Antofagasta,3803.9,9752,2.2,0.730
02103,Sierra Gorda,Antofagasta,12886.0,1206,0.1,0.789
02104,Taltal,Antofagasta,20405.1,13493,0.5,0.716
02201,Calama,El Loa,15596.9,147886,9.1,0.757
02202,Ollagüe,El Loa,2964.0,332,0.1,0.679
02203,San Pedro de Atacama,El Loa,23439.0,5605,0.2,0.711
02301,Tocopilla,Tocopilla,4038.8,20091,5.9,0.690
02302,María Elena,Tocopilla,12197.0,4593,0.6,0.779
03101,Copiapó,Copiapó,16681.3,158261,11.9,0.725
03102,Caldera,Copiapó,4666.6,16150,2.9,0.741
03103,Tierra Amarilla,Copiapó,11191.0,13912,1.1,0.686
03201,Chañaral,Chañaral,5772.0,14146,2.2,0.714
03202,Diego de Almagro,Chañaral,18664.0,16452,1.0,0.789
03301,Vallenar,Huasco,7084.0,52099,6.7,0.731
03302,Alto del Carmen,Huasco,5939.0,5488,0.8,0.664
03303,Freirina,Huasco,3207.0,6531,1.7,0.693
03304,Huasco,Huasco,1601.4,9015,5.6,0.695
04101,La Serena,Elqui,1892.8,211275,132.5,0.781
04102,Coquimbo,Elqui,1429.0,202441,141.6,0.731
04103,Andacollo,Elqui,310.0,11116,33.1,0.675
04104,La Higuera,Elqui,4158.2,4331,0.8,0.670
04105,Paihuano,Elqui,1495.0,4252,2.8,0.734
04106,Vicuña,Elqui,7610.0,26029,3.2,0.716
04201,Illapel,Choapa,2629.0,30598,11.6,0.667
04202,Canela,Choapa,2196.6,9182,4.2,0.644
04203,Los Vilos,Choapa,1823.8,18483,9.6,0.675
04204,Salamanca,Choapa,3445.0,25671,7.1,0.676
04301,Ovalle,Limarí,3835.0,112956,28.1,0.725
04302,Combarbalá,Limarí,2257.5,13818,7.7,0.661
04303,Monte Patria,Limarí,4366.9,30137,6.9,0.653
04304,Punitaqui,Limarí,1339.0,10418,7.1,0.653
04305,Río Hurtado,Limarí,2180.0,4149,1.9,0.653
05101,Valparaíso,Valparaíso,401.6,308137,687.2,0.701
05102,Casablanca,Valparaíso,953.0,25165,22.9,0.712
05103,Concón,Valparaíso,76.0,63210,424.6,0.781
05104,Juan Fernández,Valparaíso,149.4,792,4.0,0.744
05105,Puchuncaví,Valparaíso,300.0,16371,43.1,0.734
05107,Quintero,Valparaíso,148.0,28066,143.5,0.733
05109,Viña del Mar,Valparaíso,121.6,311399,2560.8,0.766
05201,Isla de Pascua,Isla de Pascua,163.6,5761,23.1,0.715
05301,Los Andes,Los Andes,1248.0,110866,48.2,0.756
05302,Calle Larga,Los Andes,321.7,11110,34.3,0.706
05303,Rinconada,Los Andes,122.5,8097,63.8,0.691
05304,San Esteban,Los Andes,681.0,17371,12.5,0.732
05401,La Ligua,Petorca,1163.0,38524,27.5,0.708
05402,Cabildo,Petorca,1455.0,21094,13.0,0.671
05403,Papudo,Petorca,64.2,5643,71.7,0.734
05404,Petorca,Petorca,11.6,10074,390.5,0.696
05405,Zapallar,Petorca,288.0,6726,22.1,0.743
05501,Quillota,Quillota,302.0,88803,288.5,0.726
05502,La Calera,Quillota,60.5,55207,830.0,0.700
05503,Hijuelas,Quillota,267.0,19132,71.6,0.672
05504,La Cruz,Quillota,78.0,17346,164.3,0.763
05506,Nogales,Quillota,405.0,26385,53.3,0.689
05601,San Antonio,San Antonio,405.0,87697,215.3,0.697
05602,Algarrobo,San Antonio,176.0,13472,48.9,0.722
05603,Cartagena,San Antonio,246.0,17029,68.6,0.708
05604,El Quisco,San Antonio,51.0,15829,185.6,0.745
05605,El Tabo,San Antonio,99.0,11861,71.0,0.747
05606,Santo Domingo,San Antonio,536.0,9205,34.5,0.751
05701,San Felipe,San Felipe de Aconcagua,186.0,72121,344.9,0.730
05702,Catemu,San Felipe de Aconcagua,361.6,13902,33.5,0.669
05703,Llaillay,San Felipe de Aconcagua,349.1,23680,62.0,0.676
05704,Panquehue,San Felipe de Aconcagua,121.9,7569,53.8,0.696
05705,Putaendo,San Felipe de Aconcagua,7.68,17369,1938.8,0.674
05706,Santa María,San Felipe de Aconcagua,166.3,14504,9.2,0.699
05801,Quilpué,Marga Marga,537.0,162320,280.7,0.752
05802,Limache,Marga Marga,294.0,45864,133.4,0.722
05803,Olmué,Marga Marga,232.0,16243,70.5,0.701
05804,Villa Alemana,Marga Marga,97.0,135368,1225.6,0.755
06101,Rancagua,Cachapoal,260.3,250638,823.4,0.732
06102,Codegua,Cachapoal,287.0,12725,37.6,0.706
06103,Coinco,Cachapoal,98.0,7248,65.1,0.678
06104,Coltauco,Cachapoal,225.0,17620,72.1,0.644
06105,Doñihue,Cachapoal,78.0,21023,86.7,0.685
06106,Graneros,Cachapoal,113.0,30372,252.2,0.691
06107,Las Cabras,Cachapoal,749.0,23857,27.0,0.661
06108,Machalí,Cachapoal,2597.0,44566,11.1,0.730
06109,Malloa,Cachapoal,113.0,14972,113.9,0.649
06110,Mostazal,Cachapoal,524.0,23430,44.7,0.691
06111,Olivar,Cachapoal,45.0,13483,256.5,0.661
06112,Peumo,Cachapoal,153.1,14158,92.1,0.674
06113,Pichidegua,Cachapoal,320.0,18637,55.5,0.652
06114,Quinta de Tilcoco,Cachapoal,93.0,12144,122.4,0.678
06115,Rengo,Cachapoal,755.0,56188,66.8,0.680
06116,Requínoa,Cachapoal,673.0,26235,33.0,0.668
06117,San Vicente,Cachapoal,497.8,47716,66.6,0.694
06201,Pichilemu,Cardenal Caro,749.1,13916,16.5,0.677
06202,La Estrella,Cardenal Caro,435.0,4821,9.7,0.696
06203,Litueche,Cardenal Caro,619.0,5591,8.9,0.645
06204,Marchihue,Cardenal Caro,660.0,7557,10.4,0.670
06205,Navidad,Cardenal Caro,300.0,5650,18.0,0.651
06206,Paredones,Cardenal Caro,562.0,6802,11.9,0.628
06301,San Fernando,Colchagua,2441.0,75221,30.8,0.725
06302,Chépica,Colchagua,503.0,15820,27.5,0.637
06303,Chimbarongo,Colchagua,498.0,35664,64.9,0.674
06304,Lolol,Colchagua,597.0,6630,10.4,0.628
06305,Nancagua,Colchagua,111.0,18921,140.9,0.665
06306,Palmilla,Colchagua,237.0,12373,47.3,0.676
06307,Peralillo,Colchagua,282.6,10933,38.6,0.653
06308,Placilla,Colchagua,146.9,9624,65.5,0.621
06309,Pumanque,Colchagua,441.0,3458,7.8,0.635
06310,Santa Cruz,Colchagua,419.5,35255,77.2,0.719
07101,Talca,Talca,232.0,264842,928.5,0.731
07102,Constitución,Talca,1344.0,41416,34.3,0.715
07103,Curepto,Talca,1073.8,9714,9.7,0.644
07104,Empedrado,Talca,565.0,4250,7.4,0.637
07105,Maule,Talca,190.0,21957,88.6,0.681
07106,Pelarco,Talca,332.0,7959,21.8,0.653
07107,Pencahue,Talca,956.8,9187,8.6,0.649
07108,Río Claro,Talca,431.0,13020,30.2,0.671
07109,San Clemente,Talca,4504.0,39554,9.5,0.659
07110,San Rafael,Talca,263.5,8512,29.1,0.629
07201,Cauquenes,Cauquenes,2216.0,40245,19.4,0.656
07202,Chanco,Cauquenes,530.0,9571,17.8,0.612
07203,Pelluhue,Cauquenes,371.0,6636,17.2,0.694
07301,Curicó,Curicó,1328.0,177766,133.8,0.710
07302,Hualañé,Curicó,629.0,9977,15.4,0.631
07303,Licantén,Curicó,273.0,6689,25.2,0.705
07304,Molina,Curicó,1552.0,40329,25.8,0.663
07305,Rauco,Curicó,309.0,9878,27.7,0.659
07306,Romeral,Curicó,1597.0,14460,7.9,0.668
07307,Sagrada Familia,Curicó,548.8,17839,31.9,0.672
07308,Teno,Curicó,618.4,28228,45.6,0.648
07309,Vichuquén,Curicó,426.0,4335,11.5,0.678
07401,Linares,Linares,1466.0,107311,73.1,0.710
07402,Colbún,Linares,2900.0,19361,6.0,0.638
07403,Longaví,Linares,1454.0,28968,19.3,0.626
07404,Parral,Linares,1638.0,39404,23.2,0.656
07405,Retiro,Linares,827.0,18760,22.0,0.649
07406,San Javier,Linares,1313.0,40881,31.0,0.654
07407,Villa Alegre,Linares,190.0,15428,77.5,0.648
07408,Yerbas Buenas,Linares,262.0,17158,61.5,0.640
08101,Concepción,Concepción,221.6,227768,1027.8,0.757
08102,Coronel,Concepción,279.4,107508,384.8,0.682
08103,Chiguayante,Concepción,71.5,115366,1613.5,0.764
08104,Florida,Concepción,608.6,9867,16.2,0.604
08105,Hualqui,Concepción,530.5,21934,41.3,0.666
08106,Lota,Concepción,135.8,48045,353.8,0.643
08107,Penco,Concepción,107.6,52389,486.9,0.689
08108,San Pedro de La Paz,Concepción,112.5,94827,842.9,0.787
08109,Santa Juana,Concepción,731.2,13331,18.2,0.626
08110,Talcahuano,Concepción,92.3,171673,1859.9,0.731
08111,Tomé,Concepción,494.5,55764,112.8,0.668
08112,Hualpén,Concepción,53.5,86176,1610.8,
08201,Lebu,Arauco,561.4,25790,45.9,0.633
08202,Arauco,Arauco,956.1,41153,43.0,0.704
08203,Cañete,Arauco,1089.2,33535,30.8,0.641
08204,Contulmo,Arauco,638.8,5188,8.1,0.603
08205,Curanilahue,Arauco,994.3,33855,31.0,0.643
08206,Los Álamos,Arauco,599.1,20723,34.6,0.645
08207,Tirúa,Arauco,624.4,10859,17.4,0.584
