comuna_nombre,region_nombre,provincia_nombre,poblacion_1992,poblacion_2002,poblacion_2017
Antofagasta,Antofagasta,Antofagasta,227065,289477,361873
Calama,Antofagasta,El Loa,121827,137144,165731
Tocopilla,Antofagasta,Tocopilla,25119,23968,25186
Mejillones,Antofagasta,Antofagasta,5886,8034,13467
Taltal,Antofagasta,Antofagasta,10926,10307,13317
San Pedro de Atacama,Antofagasta,El Loa,2670,4025,10996
Sierra Gorda,Antofagasta,Antofagasta,1183,1234,10186
María Elena,Antofagasta,Tocopilla,13765,7456,6457
Ollagüe,Antofagasta,El Loa,433,286,321
Temuco,La Araucanía,Cautín,198294,246349,282415
Padre Las Casas,La Araucanía,Cautín,45756,58207,76126
Villarrica,La Araucanía,Cautín,35664,45436,55478
Angol,La Araucanía,Malleco,45951,48548,53262
Lautaro,La Araucanía,Cautín,29147,32201,38013
Victoria,La Araucanía,Malleco,32830,33552,34182
Nueva Imperial,La Araucanía,Cautín,27731,29793,32510
Pucón,La Araucanía,Cautín,14097,20635,28523
Vilcún,La Araucanía,Cautín,20667,22348,28151
Pitrufquén,La Araucanía,Cautín,19643,21840,24837
Freire,La Araucanía,Cautín,22984,25163,24606
Collipulli,La Araucanía,Malleco,22699,22381,24598
Carahue,La Araucanía,Cautín,25342,25575,24533
Loncoche,La Araucanía,Cautín,23485,23201,23612
Traiguén,La Araucanía,Malleco,20451,19179,18843
Cunco,La Araucanía,Cautín,18116,18800,17526
Curacautín,La Araucanía,Malleco,17892,16861,17413
Teodoro Schmidt,La Araucanía,Cautín,14325,15323,15045
Gorbea,La Araucanía,Cautín,14655,15215,14414
Saavedra,La Araucanía,Cautín,14258,13995,12450
Galvarino,La Araucanía,Cautín,14102,12635,11996
Purén,La Araucanía,Malleco,13952,12965,11779
Cholchol,La Araucanía,Cautín,8838,9854,11611
Lonquimay,La Araucanía,Malleco,8937,10014,10251
Renaico,La Araucanía,Malleco,9108,9206,10250
Toltén,La Araucanía,Cautín,11916,11201,9722
Lumaco,La Araucanía,Malleco,12221,11335,9548
Ercilla,La Araucanía,Malleco,8739,9131,7733
Curarrehue,La Araucanía,Cautín,5864,6802,7489
Los Sauces,La Araucanía,Malleco,9004,7603,7265
Perquenco,La Araucanía,Cautín,5853,6425,6905
Melipeuco,La Araucanía,Cautín,5267,5578,6138
Arica,Arica y Parinacota,Arica,168633,184914,221364
Putre,Arica y Parinacota,Parinacota,2417,1671,2765
Camarones,Arica y Parinacota,Arica,729,999,1255
General Lagos,Arica y Parinacota,Parinacota,890,879,684
Copiapó,Atacama,Copiapó,100426,129279,153937
Vallenar,Atacama,Huasco,47267,48369,51917
Caldera,Atacama,Copiapó,11673,13305,17662
