CGCG011-076	3.12e+08	4.15e+07	0	3.38e+08	4.71e+07	0	0.32	0.02	0
NGC1797	6.40e+07	1.53e+07	0	4.88e+07	1.06e+07	0	0.62	0.01	0
IRASF05189-2524	5.62e+08	9.74e+07	0	4.14e+08	9.53e+07	0	0.03	0.00	0
IRASF05187-1017	2.40e+08	3.42e+07	0	2.43e+08	4.33e+07	0	0.53	0.03	0
CGCG141-034	1.85e+08	3.72e+07	0	3.12e+07	2.98e+07	1	0.48	0.01	0
MCG-03-04-014	4.33e+08	5.56e+07	0	4.24e+08	4.24e+07	0	0.67	0.01	0
NGC0034	1.11e+08	1.81e+07	0	1.77e+08	2.28e+07	0	0.45	0.02	0
IRASF22491-1808	5.09e+08	6.45e+08	1	5.03e+08	5.68e+08	1	0.48	0.02	0
UGC11041	1.87e+08	3.19e+07	0	1.82e+08	2.43e+07	0	0.58	0.01	0
UGC11415	3.51e+07	2.52e+07	1	1.45e+08	3.19e+07	0	0.29	0.01	0
IRAS01364-1042	1.55e+08	2.21e+08	1	1.53e+08	1.37e+08	1	0.39	0.01	0
NGC6907	1.20e+08	1.64e+07	0	6.56e+07	1.39e+07	0	0.57	0.01	0
NGC2623	4.00e+08	7.39e+07	0	3.62e+08	8.09e+07	0	0.27	0.01	0
UGC08739	1.90e+08	2.45e+07	0	1.36e+08	2.77e+07	0	0.51	0.01	0
NGC5104	2.12e+08	3.80e+07	0	1.26e+08	3.33e+07	0	0.51	0.01	0
ESO602-G025	2.08e+08	5.12e+07	0	1.83e+08	2.91e+07	0	0.45	0.01	0
ESO593-8	2.61e+08	3.31e+08	1	2.55e+08	4.03e+08	1	0.56	0.01	0
IC214	1.27e+08	3.42e+07	0	1.95e+08	4.11e+07	0	0.64	0.01	0
ESO550-IG02	1.72e+08	4.32e+07	0	1.35e+08	4.24e+07	0	nan	nan	1
IRASF14348-1447	5.94e+08	5.20e+08	1	5.87e+08	3.62e+08	1	0.25	0.01	0
IRAS18090+0130	2.56e+08	3.81e+07	0	2.95e+08	4.17e+07	0	0.61	0.01	0
NGC5936	1.13e+08	1.49e+07	0	7.53e+07	1.03e+07	0	0.62	0.01	0
IRASF06076-2139	6.06e+08	1.14e+08	0	1.09e+08	1.12e+08	1	0.33	0.02	0
IRASF16164-0746	1.34e+08	2.65e+07	0	2.30e+08	3.00e+07	0	0.61	0.01	0
NGC6701	2.28e+08	1.83e+07	0	1.83e+08	1.80e+07	0	0.55	0.01	0
IC4280	1.37e+08	2.98e+07	0	1.67e+08	3.28e+07	0	0.59	0.01	0
NGC0958	3.62e+07	3.36e+07	1	3.57e+07	2.70e+07	1	0.29	0.01	0
IC1623	2.46e+08	2.51e+07	0	6.43e+08	2.47e+07	0	0.30	0.00	0
IRASF23365+3604	1.37e+09	4.53e+08	0	2.13e+09	4.43e+08	0	0.41	0.02	0
NGC6786	1.35e+08	2.23e+07	0	1.49e+08	2.83e+07	0	0.64	0.01	0
CGCG247-020	2.92e+08	4.62e+07	0	1.69e+08	3.69e+07	0	0.56	0.01	0
IRAS07251-0248	1.13e+09	3.56e+08	0	2.28e+08	3.48e+08	1	0.09	0.01	0
Arp220	1.96e+09	1.21e+08	0	9.62e+08	1.19e+08	0	0.17	0.00	0
CGCG052-037	1.92e+08	3.37e+07	0	2.10e+08	2.70e+07	0	0.62	0.01	0
IRASF16399-0937	2.58e+08	3.36e+07	0	2.28e+08	3.30e+07	0	0.43	0.01	0
UGC03094	2.52e+07	3.40e+07	1	1.76e+08	3.32e+07	0	0.43	0.01	0
UGC12150	2.57e+08	3.11e+07	0	2.95e+08	2.64e+07	0	0.53	0.01	0
NGC7591	1.46e+08	1.95e+07	0	7.35e+07	1.35e+07	0	0.48	0.01	0
NGC5331	3.35e+08	5.16e+07	0	2.20e+08	5.06e+07	0	0.61	0.01	0
IRASF12224-0624	7.49e+07	5.73e+07	1	7.40e+07	6.89e+07	1	0.07	0.02	0
ESO507-G070	2.89e+08	4.51e+07	0	4.37e+08	4.78e+07	0	0.56	0.01	0
IRASF17138-1017	1.24e+08	1.41e+07	0	1.51e+08	1.70e+07	0	0.68	0.01	0
UGC05101	1.43e+09	1.32e+08	0	8.11e+08	1.12e+08	0	0.13	0.01	0
VIIZw031	4.91e+08	3.96e+08	1	1.50e+09	4.75e+08	0	0.64	0.01	0
CGCG049-057	2.72e+08	2.75e+07	0	1.24e+08	1.71e+07	0	0.51	0.04	0
NGC6286	2.57e+08	3.40e+07	0	2.60e+08	3.34e+07	0	0.59	0.01	0
NGC6285	1.41e+07	1.89e+07	1	1.39e+07	1.31e+07	1	0.66	0.02	0
CGCG453-062	2.38e+08	3.90e+07	0	1.16e+08	3.83e+07	0	0.58	0.02	0
